bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A Ashish Reddy,0,0,0,0,229,69,0,49,39,0,0,0,0,0,0,0,0
A Badoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,25
A Chandila,0,0,0,0,86,156,0,0,0,0,0,0,0,0,0,0,0
A Choudhary,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0
A Dananjaya,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
A Flintoff,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Kamboj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
A Kumble,294,340,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Mishra,134,285,352,354,369,390,335,301,332,339,259,267,71,109,0,148,20
A Mithun,0,39,37,304,32,36,0,0,0,0,0,0,0,0,0,0,0
A Nehra,336,326,95,0,399,307,139,436,192,192,0,0,0,0,0,0,0
A Nel,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Nortje,0,0,0,0,0,0,0,0,0,0,0,0,502,174,208,353,286
A Singh,0,93,0,211,299,0,0,0,0,0,0,0,0,0,0,0,0
A Symonds,94,156,365,41,0,0,0,0,0,0,0,0,0,0,0,0,0
A Uniyal,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Zampa,0,0,0,0,0,0,0,0,110,160,0,0,91,0,0,186,0
AA Chavan,0,0,0,27,230,61,0,0,0,0,0,0,0,0,0,0,0
AA Jhunjhunwala,0,0,67,21,38,0,0,0,0,0,0,0,0,0,0,0,0
AA Kazi,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
AA Noffke,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB Agarkar,195,270,199,229,130,89,0,0,0,0,0,0,0,0,0,0,0
AB Dinda,245,187,147,143,158,455,257,59,222,114,0,0,0,0,0,0,0
AB McDonald,0,22,137,23,60,17,0,0,0,0,0,0,0,0,0,0,0
AC Gilchrist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC Thomas,0,0,0,288,106,0,0,0,0,0,0,0,0,0,0,0,0
AC Voges,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD Mascarenhas,27,132,65,0,104,25,0,0,0,0,0,0,0,0,0,0,0
AD Mathews,0,30,309,0,189,230,0,241,0,55,0,0,0,0,0,0,0
AD Russell,0,0,0,0,159,66,51,312,282,0,343,286,168,180,267,164,283
AF Milne,0,0,0,0,0,0,0,0,38,128,0,0,0,128,19,0,0
AG Murtaza,0,0,86,115,11,92,0,0,0,0,0,0,0,0,0,0,0
AJ Finch,0,0,5,12,0,49,0,0,0,0,0,0,0,0,0,0,0
AJ Hosein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
AJ Tye,0,0,0,0,0,0,0,0,0,139,431,228,47,0,104,0,0
AK Markram,0,0,0,0,0,0,0,0,0,0,0,0,0,22,64,70,14
AL Menaria,0,0,0,117,23,0,0,0,0,0,0,0,0,0,0,0,0
AM Nayar,67,79,0,93,16,56,0,0,0,0,0,0,0,0,0,0,0
AM Rahane,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM Salvi,0,126,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
AN Ahmed,0,0,20,156,16,45,110,120,0,0,0,0,0,0,0,0,0
AP Dole,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR Patel,0,0,0,0,0,0,394,382,381,356,216,363,325,309,317,328,336
AS Joseph,0,0,0,0,0,0,0,0,0,0,0,84,0,0,258,219,108
AS Rajpoot,0,0,0,0,0,34,0,0,88,104,214,146,186,0,0,0,0
AS Raut,0,36,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
AS Roy,0,0,0,0,0,0,0,0,0,0,0,8,0,0,55,62,60
AU Rashid,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,56,0
AUK Pathan,0,0,0,43,14,0,0,0,0,0,0,0,0,0,0,0,0
Abdul Samad,0,0,0,0,0,0,0,0,0,0,0,0,91,9,8,0,0
Abdur Razzak,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhishek Sharma,0,0,0,0,0,0,0,0,0,0,0,20,89,61,38,121,51
Akash Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,56,53
Akash Madhwal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,195
Akash Singh,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,185,0
Aman Hakim Khan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
Anand Rajan,0,0,0,45,104,39,0,0,0,0,0,0,0,0,0,0,0
Ankit Sharma,0,0,0,0,163,17,43,108,78,16,11,0,0,0,0,0,0
Ankit Soni,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0
Anureet Singh,0,43,0,0,0,0,0,449,41,26,42,0,0,0,0,0,0
Arjun Tendulkar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,21
Arshad Khan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,82
Arshad Khan (2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Arshdeep Singh,0,0,0,0,0,0,0,0,0,0,0,104,208,327,364,474,481
Atharva Taide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Avesh Khan,0,0,0,0,0,0,0,0,0,23,201,29,41,432,398,277,508
Azhar Mahmood,0,0,0,0,316,326,0,39,0,0,0,0,0,0,0,0,0
Azmatullah Omarzai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181
B Akhil,132,77,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0
B Chipli,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
B Geeves,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B Kumar,0,0,0,66,271,344,346,393,466,358,345,447,96,328,358,408,518
B Laughlin,0,0,0,0,0,68,0,0,0,0,203,0,0,0,0,0,0
B Lee,109,98,137,322,293,83,0,0,0,0,0,0,0,0,0,0,0
B Stanlake,0,0,0,0,0,0,0,0,0,68,126,0,0,0,0,0,0
BA Bhatt,0,0,0,223,135,31,0,0,0,0,0,0,0,0,0,0,0
BA Stokes,0,0,0,0,0,0,0,0,0,305,293,181,147,12,0,18,0
BAW Mendis,24,133,60,0,0,78,0,0,0,0,0,0,0,0,0,0,0
BB Sran,0,0,0,0,0,0,0,29,398,28,213,50,0,0,0,0,0
BCJ Cutting,0,0,0,0,0,0,31,0,79,120,165,27,0,0,0,0,0
BE Hendricks,0,0,0,0,0,0,119,105,0,0,0,0,0,0,0,0,0
BJ Hodge,0,153,41,76,21,3,0,0,0,0,0,0,0,0,0,0,0
BJ Rohrer,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
BMAJ Mendis,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
BW Hilfenhaus,0,0,0,0,222,0,239,0,0,0,0,0,0,0,0,0,0
Basil Thampi,0,0,0,0,0,0,0,0,0,414,113,109,46,0,146,0,0
Bipul Sharma,0,0,94,71,73,21,0,50,121,127,0,0,0,0,0,0,0
C Ganapathy,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,291
C Munro,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
C Nanda,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C Sakariya,0,0,0,0,0,0,0,0,0,0,0,0,0,403,78,82,0
C de Grandhomme,0,0,0,0,0,0,0,0,0,129,118,54,0,0,0,0,0
CH Gayle,0,132,138,231,64,39,0,14,57,0,0,0,5,0,0,0,0
CH Morris,0,0,0,0,0,391,0,308,294,237,140,298,196,356,0,0,0
CJ Anderson,0,0,0,0,0,0,177,33,0,177,110,0,0,0,0,0,0
CJ Dala,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
CJ Green,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
CJ Jordan,0,0,0,0,0,0,0,0,241,8,30,0,300,94,132,228,0
CJ McKay,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
CK Kapugedera,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CK Langeveldt,0,14,84,80,0,0,0,0,0,0,0,0,0,0,0,0,0
CL White,22,0,18,0,25,16,0,0,0,0,0,0,0,0,0,0,0
CR Brathwaite,0,0,0,0,0,0,0,0,181,65,91,26,0,0,0,0,0
CR Woakes,0,0,0,0,0,0,0,0,0,372,182,0,0,81,0,0,0
CRD Fernando,152,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV Varun,0,0,0,0,0,0,0,0,0,0,0,35,355,440,321,417,393
D Brevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
D Jansen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
D Kalyankrishna,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D Pretorius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,24,0
D Salunkhe,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D Wiese,0,0,0,0,0,0,0,344,46,0,0,0,0,0,0,38,0
D du Preez,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA Warner,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DAJ Bracewell,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
DB Ravi Teja,19,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
DE Bollinger,0,0,199,312,152,0,0,0,0,0,0,0,0,0,0,0,0
DG Nalkande,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,43,43
DJ Bravo,222,246,223,148,442,480,0,416,481,0,516,314,171,243,276,0,0
DJ Harris,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
DJ Hooda,0,0,0,0,0,0,0,122,94,42,23,20,9,136,43,8,21
DJ Hussey,129,33,80,38,62,89,36,0,0,0,0,0,0,0,0,0,0
DJ Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,68
DJ Muthuswami,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0
DJ Thornely,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ Willey,0,0,0,0,0,0,0,0,0,0,94,0,0,0,72,101,0
DJG Sammy,0,0,0,0,0,163,153,25,0,0,0,0,0,0,0,0,0
DJM Short,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
DL Chahar,0,0,0,0,0,0,0,0,38,72,259,469,387,436,0,286,197
DL Vettori,54,179,95,309,234,0,0,0,0,0,0,0,0,0,0,0,0
DNT Zoysa,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP Nannes,0,349,209,30,0,146,0,0,0,0,0,0,0,0,0,0,0
DP Vijaykumar,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Sams,0,0,0,0,0,0,0,0,0,0,0,0,109,37,343,0,0
DR Smith,76,122,36,0,94,57,93,17,148,144,0,0,0,0,0,0,0
DS Kulkarni,216,198,35,141,59,142,210,261,361,168,181,326,20,46,0,0,0
DT Christian,0,0,0,332,226,53,0,0,0,289,101,0,0,151,0,0,0
DW Steyn,228,57,377,286,275,377,425,168,16,0,0,69,128,0,0,0,0
F du Plessis,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
FA Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,89,46,0,0
FH Edwards,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY Fazal,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fazalhaq Farooqi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,111,0
G Coetzee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318
GB Hogg,0,0,0,0,245,29,0,142,136,0,0,0,0,0,0,0,0
GC Viljoen,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0
GD McGrath,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,20,0
GH Vihari,0,0,0,0,0,37,0,0,0,0,0,9,0,0,0,0,0
GHS Garton,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0
GJ Maxwell,0,0,0,0,21,23,127,93,78,124,130,0,169,132,163,92,123
GR Napier,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GS Sandhu,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0
Gagandeep Singh,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulbadin Naib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Gurkeerat Singh,0,0,0,0,0,0,0,64,29,0,0,0,0,0,0,0,0
Gurnoor Brar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
H Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29
HF Gurney,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
HH Pandya,0,0,0,0,0,0,0,171,147,207,367,376,0,0,216,222,377
HR Shokeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,178,0
HV Patel,0,0,0,0,337,0,107,319,141,42,160,69,125,436,385,432,450
Harbhajan Singh,79,252,360,358,367,442,350,436,386,265,268,305,0,60,0,0,0
Harmeet Singh,0,187,163,47,184,117,0,0,0,0,0,0,0,0,0,0,0
Harpreet Brar,0,0,0,0,0,0,0,0,0,0,0,48,40,134,141,215,297
Harshit Rana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,141,372
I Malhotra,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
I Sharma,308,281,225,303,0,447,99,154,135,172,0,337,24,97,0,197,241
I Udana,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0
IC Pandey,0,0,0,0,0,49,315,220,0,0,0,0,0,0,0,0,0
IC Porel,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
IK Pathan,331,378,414,323,459,374,203,0,61,26,0,0,0,0,0,0,0
IS Sodhi,0,0,0,0,0,0,0,0,0,0,135,66,0,0,0,0,0
Imran Tahir,0,0,0,0,0,0,164,297,137,364,186,426,76,14,0,0,0
Iqbal Abdulla,22,0,61,300,140,142,17,142,208,51,0,0,0,0,0,0,0
J Botha,0,67,0,236,292,107,0,79,0,0,0,0,0,0,0,0,0
J Little,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,44
J Suchith,0,0,0,0,0,0,0,330,29,0,0,28,0,66,132,0,0
J Syed Mohammad,0,0,0,126,64,89,0,0,0,0,0,0,0,0,0,0,0
J Theron,0,0,187,0,63,0,0,38,0,0,0,0,0,0,0,0,0
J Yadav,0,0,0,0,0,0,0,29,123,41,0,49,43,126,0,26,0
JA Morkel,373,315,392,371,367,153,117,107,61,0,0,0,0,0,0,0,0
JA Richardson,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,38
JC Archer,0,0,0,0,0,0,0,0,0,0,309,285,354,0,0,177,0
JD Ryder,0,113,0,116,68,0,0,0,0,0,0,0,0,0,0,0,0
JD Unadkat,0,0,85,147,32,365,268,30,48,318,478,386,220,166,186,84,306
JDP Oram,145,132,0,45,0,20,0,0,0,0,0,0,0,0,0,0,0
JDS Neesham,0,0,0,0,0,0,88,0,0,0,0,0,145,66,29,0,0
JE Root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
JE Taylor,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0
JEC Franklin,0,0,0,97,119,0,0,0,0,0,0,0,0,0,0,0,0
JH Kallis,302,334,464,164,391,383,184,0,0,0,0,0,0,0,0,0,0
JJ Bumrah,0,0,0,0,0,67,292,176,396,432,359,408,408,384,376,0,315
JJ van der Wath,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
JL Pattinson,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0
JM Kemp,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JO Holder,0,0,0,0,0,163,33,0,98,0,0,0,225,231,374,279,0
JP Behrendorff,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,373,0
JP Duminy,0,86,37,140,98,0,230,121,54,0,36,0,0,0,0,0,0
JP Faulkner,0,0,0,9,71,411,410,415,160,268,0,0,0,0,0,0,0
JPR Scantlebury-Searles,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0
JR Hazlewood,0,0,0,0,0,0,0,0,0,0,0,0,63,288,367,73,0
JR Hopes,273,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0
JW Hastings,0,0,0,0,0,0,28,0,35,0,0,0,0,0,0,0,0
Jalaj S Saxena,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
Jaskaran Singh,0,31,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joginder Sharma,228,56,86,32,0,0,0,0,0,0,0,0,0,0,0,0,0
K Goel,25,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Gowtham,0,0,0,0,0,0,0,0,0,0,308,164,84,0,99,114,28
K Kartikeya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,219,0
K Khejroliya,0,0,0,0,0,0,0,0,0,0,102,45,0,0,0,62,0
K Rabada,0,0,0,0,0,0,0,0,0,174,0,363,532,446,386,223,362
K Santokie,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0
K Upadhyay,0,0,0,0,33,46,0,0,0,0,0,0,0,0,0,0,0
K Yadav,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,68,0
KA Jamieson,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0
KA Maharaj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
KA Pollard,0,0,263,341,327,281,252,115,80,29,0,0,178,89,122,0,0
KAJ Roach,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KC Cariappa,0,0,0,0,0,0,0,28,156,123,0,33,0,0,0,0,0
KH Pandya,0,0,0,0,0,0,0,0,225,267,279,329,360,250,261,312,240
KJ Abbott,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0
KK Ahmed,0,0,0,0,0,0,0,0,0,0,37,274,238,213,308,285,453
KK Cooper,0,0,0,0,169,424,132,0,0,0,0,0,0,0,0,0,0
KL Nagarkoti,0,0,0,0,0,0,0,0,0,0,0,0,227,25,28,0,0
KM Asif,0,0,0,0,0,0,0,0,0,0,73,0,0,17,0,129,0
KMA Paul,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0
KMDN Kulasekara,0,0,0,25,90,0,0,0,0,0,0,0,0,0,0,0,0
KP Appanna,0,87,49,0,142,0,0,0,0,0,0,0,0,0,0,0,0
KP Pietersen,0,79,77,0,49,0,0,0,0,0,0,0,0,0,0,0,0
KR Mayers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
KR Sen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,27,115
KS Williamson,0,0,0,0,0,0,0,0,7,0,0,0,24,0,0,0,0
KT Maphaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
KV Sharma,0,0,0,0,0,228,373,332,169,209,88,33,161,0,0,220,249
KW Richardson,0,0,0,0,0,99,201,0,130,0,0,0,0,28,0,0,0
Kamran Khan,0,130,51,47,0,0,0,0,0,0,0,0,0,0,0,0,0
Karanveer Singh,0,0,0,0,0,0,158,154,0,0,0,0,0,0,0,0,0
Kartik Tyagi,0,0,0,0,0,0,0,0,0,0,0,0,355,113,73,85,49
Kuldeep Yadav,0,0,0,0,0,0,0,0,94,335,410,282,89,0,411,355,363
L Ablish,0,0,33,39,0,0,0,0,0,0,0,0,0,0,0,0,0
L Balaji,278,311,192,353,151,375,292,0,0,0,0,0,0,0,0,0,0
L Ngidi,0,0,0,0,0,0,0,0,0,0,149,0,159,122,0,0,0
L Wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
LA Carseldine,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LB Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
LE Plunkett,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0
LH Ferguson,0,0,0,0,0,0,0,0,0,84,0,178,145,218,411,88,252
LI Meriwala,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
LJ Wright,0,0,0,0,24,96,0,0,0,0,0,0,0,0,0,0,0
LMP Simmons,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
LPC Silva,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LR Shukla,113,95,106,0,12,22,81,0,0,0,0,0,0,0,0,0,0
LRPL Taylor,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
LS Livingstone,0,0,0,0,0,0,0,0,0,0,0,13,0,0,196,94,81
Lalit Yadav,0,0,0,0,0,0,0,0,0,0,0,0,0,101,148,114,56
M Ashwin,0,0,0,0,0,0,0,0,234,0,50,247,233,92,223,52,0
M Jansen,0,0,0,0,0,0,0,0,0,0,0,0,0,41,261,247,116
M Kartik,126,189,249,160,252,275,90,0,0,0,0,0,0,0,0,0,0
M Manhas,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
M Markande,0,0,0,0,0,0,0,0,0,0,364,58,0,26,57,297,249
M Morkel,0,38,62,309,438,328,340,200,290,0,0,0,0,0,0,0,0
M Muralitharan,378,257,320,137,255,174,121,0,0,0,0,0,0,0,0,0,0
