bowler,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
M Jansen,0,9,0,3,1,0,0,0,0,0,0,2,0,1,3,0,0,1,0,0
M Kartik,2,0,0,0,2,3,2,2,3,2,4,0,3,1,1,2,0,3,1,0
M Markande,0,0,0,0,0,0,8,1,10,1,3,2,4,2,3,2,1,0,0,0
M Morkel,1,8,6,10,4,7,1,1,0,1,0,1,0,2,4,6,7,9,6,3
M Muralitharan,2,0,0,0,1,0,2,6,5,3,3,8,2,5,5,8,7,4,2,1
M Ntini,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
M Pathirana,0,0,0,0,0,0,0,3,0,0,2,0,1,2,3,1,3,9,2,8
M Prasidh Krishna,1,8,1,2,1,2,1,1,1,0,0,3,2,1,2,4,2,3,8,7
M Siddharth,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Theekshana,0,1,1,1,1,5,0,0,0,1,0,1,3,0,3,0,2,0,4,2
M de Lange,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
MA Khote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
MA Starc,7,3,4,0,6,0,1,0,2,2,2,0,0,0,1,1,3,3,5,11
MA Wood,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,5
MC Henriques,2,1,3,1,0,2,4,4,2,8,1,3,2,2,2,2,3,0,0,0
MF Maharoof,2,0,0,2,0,4,3,2,1,1,0,0,1,1,0,2,0,6,1,1
MG Bracewell,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
MG Johnson,6,5,11,0,3,1,0,1,0,0,3,2,1,0,0,2,6,10,8,3
MJ Clarke,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
MJ Henry,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MJ McClenaghan,5,9,1,7,4,5,0,0,1,0,1,0,0,1,5,6,4,11,6,4
MJ Santner,0,0,0,0,1,1,2,3,2,3,0,1,1,0,0,0,1,0,0,0
MK Lomror,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MK Tiwary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MM Ali,0,0,0,1,0,1,0,7,0,8,1,4,4,5,2,1,1,0,0,0
MM Patel,2,8,5,6,7,1,3,3,1,2,1,1,5,1,5,5,2,3,4,9
MM Sharma,3,8,2,3,12,8,3,1,5,2,4,1,7,3,7,2,7,12,24,18
MN Samuels,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,1,0,1
MP Stoinis,1,0,2,0,3,2,3,1,1,2,2,4,2,4,1,1,5,0,0,9
MP Yadav,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0
MR Marsh,0,1,0,0,4,1,1,1,3,2,3,1,3,2,3,2,1,1,6,2
MS Gony,1,4,1,4,5,3,1,3,0,1,1,3,0,2,1,3,2,2,0,0
Mayank Dagar,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Mohammad Asif,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1
Mohammad Hafeez,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Mohammad Nabi,0,2,0,4,0,1,0,1,1,2,0,0,1,0,1,0,0,2,0,0
Mohammed Shami,9,5,18,5,8,1,0,0,1,1,1,1,4,1,6,8,10,12,18,18
Mohammed Siraj,7,7,7,6,5,4,1,1,1,0,1,2,5,3,6,1,8,11,12,5
Mohsin Khan,3,3,3,1,1,0,0,0,1,0,0,1,2,1,0,1,6,3,1,0
Mujeeb Ur Rahman,0,2,1,0,1,1,0,0,1,0,0,0,2,3,3,0,2,2,0,1
Mukesh Choudhary,5,0,1,0,3,2,0,0,0,0,2,0,1,0,0,0,0,2,0,0
Mukesh Kumar,0,2,1,1,1,0,0,0,1,0,0,1,1,2,0,4,1,4,2,3
Mustafizur Rahman,1,0,0,1,5,5,2,1,0,2,0,5,1,3,2,2,8,4,11,8
N Burger,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
N Rana,0,0,0,0,0,0,1,2,0,0,1,0,1,0,3,0,1,1,0,0
N Thushara,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NB Singh,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND Doshi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NLTC Perera,0,0,0,1,3,2,2,1,1,0,1,0,1,2,0,0,1,8,0,8
NM Coulter-Nile,1,3,2,4,3,2,1,1,0,3,0,1,1,0,4,4,2,1,8,6
NT Ellis,0,0,0,0,2,2,1,0,0,0,1,0,1,0,3,4,0,2,0,2
Navdeep Saini,1,1,1,5,1,0,1,1,0,0,0,0,0,2,0,0,3,4,3,1
Naveen-ul-Haq,0,1,0,2,1,1,0,0,1,0,2,1,0,0,4,1,3,3,1,4
Nithish Kumar Reddy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Noor Ahmad,0,0,0,0,0,1,5,2,0,1,4,2,1,1,2,1,2,2,0,0
O Thomas,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
OC McCoy,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,5
OF Smith,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
P Amarnath,0,0,0,0,0,0,0,1,0,0,2,1,0,1,1,1,0,0,0,0
P Awana,0,2,0,3,3,5,2,0,1,2,3,0,2,1,1,1,3,4,6,0
P Dubey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P Kumar,15,2,12,4,5,2,4,2,2,0,1,2,1,1,1,4,5,8,7,12
P Negi,1,0,1,0,0,0,1,2,5,4,1,1,5,4,1,1,0,3,0,4
P Parameswaran,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3
P Sahu,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
P Suyal,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PC Valthaty,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,2,0
PD Collingwood,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0
PH Solanki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
PJ Cummins,3,6,3,3,3,3,1,2,0,4,1,1,2,3,6,5,4,5,6,2
PJ Sangwan,3,3,2,0,2,3,4,1,1,2,3,1,2,1,4,3,0,0,1,2
PM Sarvesh Kumar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PP Chawla,1,2,1,1,4,12,11,14,16,13,21,9,21,12,15,11,12,7,2,7
PP Ojha,0,1,1,2,1,1,10,1,7,8,10,6,13,2,6,4,8,6,0,2
PV Tambe,0,0,1,1,1,0,1,2,2,3,3,3,2,0,4,4,1,0,0,0
PVD Chameera,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
PWH de Silva,0,0,1,0,2,1,2,2,4,2,1,3,3,1,4,1,4,2,2,0
Pankaj Singh,0,2,0,2,2,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Parvez Rasool,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
R Ashwin,7,2,8,7,11,14,2,11,8,12,13,14,14,12,9,18,5,8,1,4
R Bhatia,0,0,0,0,0,0,2,5,7,3,8,4,7,9,7,1,4,5,1,8
R Dhawan,1,1,0,0,2,1,2,0,3,2,1,2,1,4,1,0,1,0,0,3
R McLaren,0,0,1,0,2,1,0,0,1,0,0,1,1,0,0,1,0,4,0,0
R Ninan,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
R Parag,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
R Powell,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
R Rampaul,3,0,4,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,2,2
R Sai Kishore,0,0,0,1,0,0,0,0,1,1,2,1,2,1,0,2,0,1,1,0
R Sathish,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
R Sharma,0,0,0,1,0,1,1,4,2,5,3,7,1,3,4,6,2,0,0,0
R Shepherd,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
R Shukla,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R Tewatia,0,0,0,0,0,0,3,1,8,6,2,1,3,2,2,0,0,0,0,4
R Vinay Kumar,1,5,3,10,5,6,3,0,3,2,7,4,1,3,5,3,7,6,9,22
RA Jadeja,0,0,0,0,2,4,17,5,21,11,15,12,16,10,18,5,12,5,4,3
RD Chahar,0,0,1,2,0,0,6,11,10,6,10,2,3,3,7,7,2,3,1,1
RE van der Merwe,0,1,0,1,1,0,0,3,0,0,3,2,1,1,1,1,0,3,3,0
RG More,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RG Sharma,0,0,0,0,2,0,1,1,0,0,0,1,1,1,1,5,0,2,0,0
RJ Gleeson,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RJ Harris,4,6,1,2,1,0,0,0,0,2,0,0,2,1,1,1,3,4,4,13
RJ Peterson,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
RJW Topley,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
RN ten Doeschate,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
RP Meredith,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,2,2,3,2,3
RP Singh,1,11,9,8,3,3,2,3,0,0,0,0,0,1,4,2,8,11,10,14
RR Powar,0,0,1,0,3,0,2,0,2,1,0,0,0,0,2,1,0,0,1,0
RR Raje,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0
RS Bopara,0,0,0,0,0,0,0,1,1,1,1,3,0,0,2,0,1,0,1,0
RS Hangargekar,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
RV Gomez,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0
Ramandeep Singh,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,1
Rashid Khan,0,0,1,2,3,8,10,12,8,6,12,8,10,14,16,13,12,9,4,1
Rasikh Salam,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,3,0
Ravi Bishnoi,0,0,0,2,0,0,4,5,6,3,3,6,4,8,3,12,3,4,0,0
S Aravind,1,7,0,5,1,6,0,1,1,2,1,0,0,3,2,2,3,2,5,3
S Badree,0,0,5,1,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
S Dhawan,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
S Dube,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
S Gopal,0,3,2,2,0,1,2,6,8,2,8,3,5,2,2,5,1,0,0,0
S Kaul,0,1,1,4,3,3,2,1,1,1,1,4,0,3,3,5,1,4,7,13
S Kaushik,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0
S Ladda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
S Lamichhane,1,1,1,2,0,0,0,0,0,2,0,0,2,2,1,1,0,0,0,0
S Nadeem,0,3,0,4,0,1,4,4,2,6,5,4,1,6,2,4,2,0,0,0
S Narwal,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
S Randiv,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0
S Sandeep Warrier,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Sreesanth,3,9,4,3,1,6,0,1,0,3,0,0,1,0,0,2,2,1,2,0
S Tyagi,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S Vidyut,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SA Abbott,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SB Bangar,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
SB Jakati,0,0,0,0,0,0,7,1,6,1,6,3,5,4,4,5,2,3,0,0
SB Joshi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SB Styris,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,1,0,1
SB Wagh,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SC Ganguly,0,0,0,0,0,0,2,1,1,3,0,1,0,1,1,0,0,0,0,0
SC Kuggeleijn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SD Chitnis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
SE Bond,2,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0
SE Rutherford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SH Johnson,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
SJ Srivastava,0,0,2,0,2,1,0,1,1,1,0,0,1,0,0,3,1,0,1,0
SK Raina,0,0,0,1,0,1,1,2,1,3,2,3,1,2,2,0,2,1,0,3
SK Trivedi,0,0,1,0,2,3,5,3,2,2,10,4,5,5,3,4,3,5,3,5
SK Warne,0,0,0,0,1,0,4,6,7,3,3,4,4,5,2,9,2,3,3,1
SL Malinga,11,11,2,3,5,5,1,0,1,2,1,4,9,3,4,18,14,25,32,19
SM Boland,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SM Curran,1,0,0,5,2,3,0,1,0,1,1,2,2,2,4,0,8,3,15,8
SM Harwood,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SM Pollock,3,0,4,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
SMSM Senanayake,0,0,0,2,1,1,0,2,0,0,0,0,1,0,0,1,1,0,0,0
SN Thakur,0,3,0,4,8,7,0,2,1,2,5,3,4,0,10,6,9,11,9,9
SP Narine,0,2,2,3,11,9,2,4,7,7,15,8,12,13,12,13,15,19,12,14
SR Watson,2,6,3,9,5,9,1,2,3,0,2,2,1,0,5,6,8,10,10,8
SS Agarwal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SS Cottrell,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
SS Mundhe,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS Sarkar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SSB Magala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ST Jayasuriya,0,0,0,0,0,0,0,0,0,2,1,2,3,1,1,1,0,0,0,2
STR Binny,2,1,1,0,0,1,2,3,0,0,1,2,0,4,2,0,1,2,0,0
SW Tait,2,0,0,1,2,2,0,0,0,0,0,0,2,0,1,1,1,2,3,6
Sachin Baby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Sandeep Sharma,13,6,19,7,12,3,2,5,1,2,2,2,3,2,3,9,6,12,8,20
Shahbaz Ahmed,0,0,0,1,1,0,1,2,2,1,2,2,2,3,0,0,4,0,0,0
Shahid Afridi,0,0,0,0,0,1,1,0,2,0,1,1,0,0,1,0,0,2,0,0
Shakib Al Hasan,1,2,4,4,4,3,4,1,5,1,5,4,3,3,6,3,3,3,2,2
Shashank Singh,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Shivam Mavi,0,2,1,4,2,0,3,2,1,0,1,1,1,0,0,0,3,2,6,1
Shivam Sharma,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
Shoaib Ahmed,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Shoaib Akhtar,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shoaib Malik,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Sikandar Raza,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Simarjeet Singh,0,2,0,1,0,0,1,0,1,1,0,0,0,0,2,1,0,0,0,0
Sohail Tanvir,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4
Suyash Sharma,0,0,1,0,2,0,0,1,0,0,0,0,2,2,1,0,0,1,0,0
Swapnil Singh,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
T Henderson,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T Natarajan,0,0,0,4,7,4,1,0,0,3,0,1,1,1,2,5,8,10,11,9
T Shamsi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
T Stubbs,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
T Thushara,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
TA Boult,29,1,18,1,9,4,0,1,3,0,1,2,5,1,1,2,3,14,10,16
TG Southee,9,4,3,1,0,1,0,1,2,0,3,0,1,1,3,1,1,8,3,5
TK Curran,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,1,2,3,1
TL Suman,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,1,0,0,0
TM Dilshan,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0
TM Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
TP Sudhindra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TS Mills,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,0,1,0,1,2
TU Deshpande,2,9,0,2,1,0,0,0,0,0,1,2,0,2,1,4,3,4,6,5
UT Yadav,11,9,12,13,7,6,2,4,3,2,5,4,3,5,6,7,9,11,11,14
Umar Gul,0,0,0,1,0,3,0,0,0,0,0,2,1,0,1,0,0,0,1,3
Umran Malik,0,0,0,0,0,0,2,5,1,6,0,2,2,1,4,2,0,0,0,4
V Kaverappa,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V Kohli,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0
V Pratap Singh,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,2
V Sehwag,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,1,0,0
V Shankar,0,0,0,0,0,0,1,0,1,0,3,1,1,0,0,1,1,0,0,0
V Viyaskanth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VG Arora,0,6,1,3,2,0,2,0,0,0,0,0,0,0,0,0,3,0,1,1
VR Aaron,1,0,1,2,5,5,4,2,2,1,1,2,1,1,1,3,4,1,3,4
VR Iyer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
VRV Singh,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,4,3,0
VS Malik,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
VY Mahesh,0,0,0,1,0,3,1,1,1,0,1,0,2,1,0,1,1,2,2,4
Vijaykumar Vyshak,0,0,0,0,0,1,0,1,0,2,0,0,1,1,1,3,0,1,0,2
WA Mota,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
WD Parnell,0,4,4,4,2,2,0,0,0,0,0,2,0,0,1,1,2,5,2,5
WG Jacks,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WPUJC Vaas,3,2,6,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Washington Sundar,1,3,0,3,0,5,0,9,2,0,1,2,1,4,1,3,0,1,0,0
Y Nagar,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0
Y Prithvi Raj,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Y Venugopal Rao,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0
YA Abdulla,0,0,0,0,5,2,1,0,0,0,0,0,1,0,0,0,1,1,2,2
YK Pathan,1,2,3,3,2,3,1,4,2,2,3,5,3,3,2,0,2,0,0,1
YS Chahal,1,2,2,3,3,6,17,14,13,12,13,12,16,17,15,28,13,11,6,1
Yash Dayal,0,3,2,4,0,3,1,0,0,0,1,0,1,0,1,3,1,5,0,3
Yash Thakur,0,0,0,1,2,4,0,0,0,0,0,1,0,1,3,0,1,6,2,3
Yudhvir Singh,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Yuvraj Singh,0,0,0,0,0,0,2,2,4,2,3,5,4,5,3,0,1,3,2,0
Z Khan,12,6,15,7,10,2,1,2,0,0,0,0,0,1,9,2,11,7,10,7
