Name,runs,balls,strike_rate,sixes,fours,runs_conceded,total_balls,overs,economy,dot_ball
V Kohli,8014,6236,128.5118666,273,708,371,264,44,8.43,52
S Dhawan,6769,5483,123.4543133,153,768,72,49,8.17,8.82,17
RG Sharma,6630,5183,127.9181941,281,599,462,349,58.17,7.94,88
DA Warner,6567,4849,135.4299856,236,663,2,2,0.33,6,0
SK Raina,5536,4177,132.5353124,204,506,1139,930,155,7.35,280
MS Dhoni,5243,3947,132.8350646,252,363,0,0,0,0,0
AB de Villiers,5181,3487,148.5804416,253,414,0,0,0,0,0
CH Gayle,4997,3516,142.1217292,359,408,755,584,97.33,7.76,180
RV Uthappa,4954,3927,126.1522791,182,481,0,0,0,0,0
KD Karthik,4843,3687,131.3534039,161,466,0,0,0,0,0
KL Rahul,4689,3578,131.0508664,187,400,0,0,0,0,0
AM Rahane,4642,3858,120.3214101,103,479,5,6,1,5,2
F du Plessis,4571,3435,133.0713246,166,422,16,6,1,16,0
SV Samson,4419,3270,135.1376147,206,352,0,0,0,0,0
AT Rayudu,4348,3490,124.5845272,173,359,0,0,0,0,0
G Gambhir,4217,3524,119.6651532,59,492,0,0,0,0,0
SR Watson,3880,2892,134.1632089,190,377,2742,2137,356.17,7.7,803
MK Pandey,3859,3288,117.36618,111,335,0,0,0,0,0
SA Yadav,3594,2522,142.5059477,130,385,8,6,1,8,2
JC Buttler,3583,2519,142.2389837,161,356,0,0,0,0,0
KA Pollard,3437,2447,140.4577033,224,221,2200,1586,264.33,8.32,405
RR Pant,3297,2296,143.597561,154,298,0,0,0,0,0
YK Pathan,3222,2334,138.0462725,161,263,1443,1184,197.33,7.31,393
Shubman Gill,3216,2432,132.2368421,95,310,0,0,0,0,0
Q de Kock,3160,2410,131.120332,123,316,0,0,0,0,0
SS Iyer,3131,2545,123.0255403,113,272,7,6,1,7,4
RA Jadeja,2959,2378,124.432296,107,215,4917,3895,649.17,7.57,1216
WP Saha,2934,2368,123.902027,87,296,0,0,0,0,0
DA Miller,2924,2171,134.6844772,134,207,0,0,0,0,0
BB McCullum,2882,2272,126.8485915,130,293,0,0,0,0,0
PA Patel,2848,2442,116.6257166,49,365,0,0,0,0,0
GJ Maxwell,2772,1842,150.4885993,160,233,1311,965,160.83,8.15,301
Yuvraj Singh,2754,2207,124.7847757,149,218,1091,882,147,7.42,258
V Sehwag,2728,1833,148.8270595,106,334,236,138,23,10.26,44
MA Agarwal,2669,2081,128.2556463,98,265,0,0,0,0,0
Ishan Kishan,2644,1991,132.7975892,119,255,0,0,0,0,0
N Rana,2636,2015,130.8188586,132,234,253,185,30.83,8.21,58
M Vijay,2619,2208,118.6141304,91,247,49,37,6.17,7.95,8
HH Pandya,2534,1814,139.69129,137,189,2196,1485,247.5,8.87,481
SPD Smith,2495,1999,124.8124062,60,226,5,2,0.33,15,0
SE Marsh,2489,1913,130.1097752,78,269,0,0,0,0,0
AD Russell,2488,1515,164.2244224,209,171,2691,1771,295.17,9.12,584
JH Kallis,2427,2291,105.9362724,44,255,2348,1799,299.83,7.83,601
DR Smith,2385,1803,132.2795341,117,245,825,557,92.83,8.89,168
RD Gaikwad,2380,1781,133.6327906,91,217,0,0,0,0,0
SR Tendulkar,2334,2044,114.1878669,29,296,59,37,6.17,9.57,4
RA Tripathi,2236,1650,135.5151515,84,223,12,6,1,12,0
R Dravid,2174,1918,113.3472367,28,269,0,0,0,0,0
KS Williamson,2132,1734,122.9527105,64,187,31,18,3,10.33,2
AJ Finch,2092,1696,123.3490566,78,214,67,44,7.33,9.14,13
AC Gilchrist,2069,1555,133.0546624,92,239,0,1,0.17,0,1
JP Duminy,2029,1680,120.7738095,79,126,847,701,116.83,7.25,234
MEK Hussey,1977,1648,119.9635922,52,198,0,0,0,0,0
PP Shaw,1892,1321,143.2248297,61,238,0,0,0,0,0
MP Stoinis,1866,1366,136.6032211,91,150,1300,831,138.5,9.39,219
DPMD Jayawardene,1808,1522,118.7910644,40,200,0,0,0,0,0
N Pooran,1769,1143,154.768154,127,113,0,0,0,0,0
Mandeep Singh,1706,1418,120.3102962,38,176,26,12,2,13,1
MK Tiwary,1695,1489,113.8347884,40,156,83,45,7.5,11.07,9
KC Sangakkara,1687,1424,118.4691011,27,195,0,0,0,0,0
AR Patel,1653,1318,125.4172989,79,107,3824,3152,525.33,7.28,1021
KH Pandya,1647,1287,127.972028,61,144,2644,2183,363.83,7.27,676
YBK Jaiswal,1607,1095,146.7579909,64,199,6,1,0.17,36,0
JM Bairstow,1589,1132,140.3710247,69,166,0,0,0,0,0
DJ Bravo,1560,1247,125.1002406,66,120,4436,3296,549.33,8.08,998
D Padikkal,1559,1323,117.8382464,42,170,0,0,0,0,0
NV Ojha,1554,1360,114.2647059,79,121,0,0,0,0,0
SP Narine,1534,984,155.8943089,97,164,4672,4146,691,6.76,1569
S Dube,1502,1077,139.461467,101,86,190,117,19.5,9.74,23
KK Nair,1496,1192,125.5033557,39,161,0,0,0,0,0
SS Tiwary,1494,1291,115.7242448,50,111,0,0,0,0,0
DJ Hooda,1466,1170,125.2991453,61,96,535,384,64,8.36,101
S Badrinath,1441,1245,115.7429719,28,154,0,0,0,0,0
EJG Morgan,1406,1181,119.0516511,64,112,0,0,0,0,0
BJ Hodge,1400,1153,121.4223764,43,122,310,238,39.67,7.82,75
Abhishek Sharma,1377,925,148.8648649,73,128,396,278,46.33,8.55,70
SC Ganguly,1349,1326,101.73454,42,137,370,280,46.67,7.93,75
CA Lynn,1329,974,136.4476386,66,132,0,0,0,0,0
VR Iyer,1326,1000,132.6,61,121,145,84,14,10.36,15
DJ Hussey,1322,1101,120.0726612,60,90,485,323,53.83,9.01,86
SO Hetmyer,1243,854,145.5503513,82,76,0,0,0,0,0
KM Jadhav,1208,1012,119.3675889,40,102,0,0,0,0,0
R Parag,1173,909,129.0429043,60,84,307,181,30.17,10.18,36
MM Ali,1162,849,136.8669022,67,95,900,770,128.33,7.01,266
Tilak Varma,1156,830,139.2771084,58,90,28,23,3.83,7.3,8
TM Dilshan,1153,1047,110.1241643,24,140,368,275,45.83,8.03,79
IK Pathan,1150,985,116.751269,38,88,2711,2113,352.17,7.7,835
V Shankar,1115,890,125.2808989,45,80,344,258,43,8,80
ML Hayden,1107,839,131.942789,44,121,0,0,0,0,0
M Vohra,1083,863,125.4924681,43,104,0,0,0,0,0
LMP Simmons,1079,878,122.8929385,44,109,34,18,3,11.33,2
B Sai Sudharsan,1034,770,134.2857143,32,95,0,0,0,0,0
LRPL Taylor,1017,847,120.0708383,46,66,24,13,2.17,11.08,0
R Tewatia,1013,788,128.5532995,47,84,1117,866,144.33,7.74,264
KP Pietersen,1001,758,132.0580475,40,91,218,180,30,7.27,54
MC Henriques,1000,801,124.8439451,28,87,1302,979,163.17,7.98,306
AK Markram,995,787,126.429479,35,73,173,123,20.5,8.44,32
H Klaasen,993,613,161.9902121,64,56,0,0,0,0,0
Y Venugopal Rao,985,865,113.8728324,37,77,338,222,37,9.14,59
JA Morkel,975,712,136.9382022,55,61,2409,1807,301.17,8,646
A Symonds,974,781,124.7119078,41,74,694,540,90,7.71,190
CL White,971,774,125.4521964,38,76,86,46,7.67,11.22,8
LS Livingstone,939,609,154.1871921,66,66,395,267,44.5,8.88,71
BA Stokes,935,718,130.2228412,32,81,1023,723,120.5,8.49,228
DP Conway,924,669,138.1165919,30,100,0,0,0,0,0
RK Singh,893,654,136.5443425,46,67,0,0,0,0,0
HH Gibbs,886,837,105.8542413,31,83,0,0,0,0,0
SM Curran,883,673,131.2035661,37,74,1924,1234,205.67,9.35,378
STR Binny,880,700,125.7142857,35,66,763,611,101.83,7.49,199
Harbhajan Singh,833,636,130.9748428,42,79,4101,3496,582.67,7.04,1263
R Ashwin,800,698,114.6131805,28,61,5435,4679,779.83,6.97,1552
RM Patidar,799,534,149.6254682,54,51,0,0,0,0,0
MS Bisla,798,737,108.2767978,23,93,0,0,0,0,0
Shakib Al Hasan,795,665,119.5488722,21,73,1864,1515,252.5,7.38,504
TM Head,772,458,168.558952,40,76,113,58,9.67,11.69,9
ST Jayasuriya,768,573,134.0314136,39,84,396,301,50.17,7.89,83
P Simran Singh,756,528,143.1818182,41,78,0,0,0,0,0
GC Smith,739,691,106.9464544,9,94,0,0,0,0,0
JM Sharma,730,501,145.7085828,45,53,0,0,0,0,0
AD Mathews,724,599,120.8681135,29,44,1095,807,134.5,8.14,224
C Green,707,472,149.7881356,32,62,675,462,77,8.77,149
TL Suman,676,587,115.1618399,26,55,198,152,25.33,7.82,43
AM Nayar,672,588,114.2857143,20,55,323,239,39.83,8.11,69
MR Marsh,665,532,125,38,48,803,593,98.83,8.12,181
GJ Bailey,663,552,120.1086957,19,59,0,0,0,0,0
TH David,659,417,158.0335731,46,38,0,0,0,0,0
E Lewis,654,499,131.0621242,36,62,0,0,0,0,0
PD Salt,653,385,169.6103896,34,74,0,0,0,0,0
A Badoni,634,505,125.5445545,24,46,37,25,4.17,8.88,5
PP Chawla,624,580,107.5862069,20,56,5179,3895,649.17,7.98,1325
CH Morris,618,413,149.6368039,35,41,2377,1801,300.17,7.92,668
JJ Roy,614,460,133.4782609,21,75,0,0,0,0,0
JD Ryder,604,466,129.6137339,19,69,314,241,40.17,7.82,79
SN Khan,585,456,128.2894737,14,63,6,2,0.33,18,0
Abdul Samad,579,408,141.9117647,36,37,113,55,9.17,12.33,11
HM Amla,577,418,138.0382775,21,60,0,0,0,0,0
M Shahrukh Khan,553,413,133.8983051,37,35,16,12,2,8,3
Rashid Khan,545,355,153.5211268,38,39,3340,2901,483.5,6.91,1060
CJ Anderson,538,436,123.3944954,31,40,525,315,52.5,10,79
Shahbaz Ahmed,536,467,114.7751606,25,28,850,549,91.5,9.29,142
RS Bopara,531,468,113.4615385,16,39,301,213,35.5,8.48,61
MK Lomror,527,389,135.4755784,30,33,127,94,15.67,8.11,22
JP Faulkner,527,406,129.8029557,23,36,1849,1287,214.5,8.62,399
PJ Cummins,515,359,143.454039,34,33,1976,1370,228.33,8.65,467
M Manhas,514,486,105.7613169,10,43,42,42,7,6,15
Gurkeerat Singh,511,436,117.2018349,11,55,97,82,13.67,7.1,26
OA Shah,506,405,124.9382716,23,34,0,0,0,0,0
PC Valthaty,505,432,116.8981481,20,61,207,153,25.5,8.12,44
SW Billings,503,399,126.0651629,20,40,0,0,0,0,0
RR Rossouw,473,321,147.3520249,25,45,0,0,0,0,0
DT Christian,460,408,112.745098,19,23,1218,922,153.67,7.93,296
NLTC Perera,424,326,130.0613497,26,23,1031,715,119.17,8.65,227
Shashank Singh,423,272,155.5147059,25,33,25,19,3.17,7.89,2
SA Asnodkar,423,352,120.1704545,10,56,0,0,0,0,0
JR Hopes,417,314,132.8025478,11,49,562,369,61.5,9.14,105
J Botha,409,364,112.3626374,5,39,818,709,118.17,6.92,254
T Stubbs,405,239,169.4560669,26,26,29,25,4.17,6.96,9
LR Shukla,405,358,113.1284916,16,33,458,326,54.33,8.43,109
AL Menaria,401,367,109.2643052,18,24,144,113,18.83,7.65,40
MV Boucher,394,318,123.8993711,13,32,0,0,0,0,0
CA Pujara,390,403,96.77419355,4,50,0,0,0,0,0
Azhar Mahmood,388,311,124.7588424,13,39,707,552,92,7.68,199
A Mishra,381,440,86.59090909,5,31,4193,3444,574,7.3,1185
KR Mayers,379,276,137.3188406,22,38,59,46,7.67,7.7,14
Washington Sundar,378,341,110.8504399,9,32,1335,1064,177.33,7.53,356
DB Ravi Teja,375,325,115.3846154,9,35,28,18,3,9.33,4
S Sohal,368,311,118.3279743,18,34,0,0,0,0,0
P Negi,365,301,121.2624585,16,27,954,733,122.17,7.81,237
R Powell,360,254,141.7322835,28,21,35,21,3.5,10,4
Abishek Porel,360,244,147.5409836,15,37,0,0,0,0,0
DJ Mitchell,351,274,128.1021898,10,28,97,51,8.5,11.41,5
KV Sharma,351,306,114.7058824,17,20,2130,1520,253.33,8.41,483
N Wadhera,350,261,134.0996169,18,32,13,12,2,6.5,2
Dhruv Jurel,347,237,146.4135021,16,29,0,0,0,0,0
R Bhatia,342,290,117.9310345,13,24,2059,1661,276.83,7.44,436
P Kumar,340,323,105.2631579,17,22,3342,2637,439.5,7.6,1075
AP Tare,339,285,118.9473684,11,40,0,0,0,0,0
J Fraser-McGurk,330,150,220,28,32,0,0,0,0,0
JEC Franklin,327,309,105.8252427,9,25,225,155,25.83,8.71,39
RN ten Doeschate,326,238,136.9747899,15,26,94,83,13.83,6.8,22
Anuj Rawat,318,276,115.2173913,14,26,0,0,0,0,0
R Vinay Kumar,310,289,107.266436,9,21,3041,2186,364.33,8.35,763
SN Thakur,307,228,134.6491228,13,27,2908,1979,329.83,8.82,639
B Kumar,306,338,90.53254438,3,30,5051,4060,676.67,7.46,1632
Lalit Yadav,305,301,101.3289037,7,27,430,294,49,8.78,82
DB Das,304,267,113.8576779,16,23,0,0,0,0,0
Nithish Kumar Reddy,303,221,137.1040724,21,15,208,118,19.67,10.58,29
C de Grandhomme,303,229,132.3144105,18,18,323,230,38.33,8.43,58
LA Pomersbach,302,251,120.3187251,13,25,0,0,0,0,0
UBT Chand,300,314,95.54140127,9,32,0,0,0,0,0
DJG Sammy,295,251,117.5298805,18,15,354,244,40.67,8.7,72
SP Goswami,293,307,95.43973941,3,32,0,0,0,0,0
Rahmanullah Gurbaz,289,228,126.754386,19,24,0,0,0,0,0
Y Nagar,285,271,105.1660517,9,20,125,72,12,10.42,16
GH Vihari,284,331,85.80060423,1,23,48,43,7.17,6.7,17
VVS Laxman,282,271,104.0590406,5,33,0,0,0,0,0
B Chipli,280,256,109.375,7,28,20,6,1,20,1
A Ashish Reddy,280,196,142.8571429,15,16,400,270,45,8.89,79
MJ Lumb,278,198,140.4040404,6,45,0,0,0,0,0
PBB Rajapaksa,277,201,137.8109453,15,22,0,0,0,0,0
PK Garg,273,247,110.5263158,9,16,0,0,0,0,0
MJ Guptill,271,197,137.5634518,15,24,0,0,0,0,0
R Sathish,270,236,114.4067797,6,22,233,144,24,9.71,30
M Kaif,259,258,100.3875969,6,22,0,0,0,0,0
JO Holder,259,217,119.3548387,18,13,1489,1049,174.83,8.52,321
HV Patel,249,214,116.3551402,15,16,3215,2284,380.67,8.45,710
K Gowtham,247,159,155.3459119,17,15,825,599,99.83,8.26,206
Atharva Taide,247,177,139.5480226,8,27,4,1,0.17,24,0
SM Katich,241,191,126.1780105,8,26,0,0,0,0,0
BCJ Cutting,238,146,163.0136986,19,15,430,288,48,8.96,77
MD Mishra,237,213,111.2676056,8,24,0,0,0,0,0
Harpreet Brar,233,201,115.920398,9,19,907,692,115.33,7.86,229
A Manohar,231,181,127.6243094,10,21,0,0,0,0,0
WG Jacks,230,133,172.9323308,18,16,100,55,9.17,10.91,11
D Brevis,230,176,130.6818182,16,17,8,3,0.5,16,1
R Ravindra,222,146,152.0547945,12,22,7,12,2,3.5,5
Mohammad Nabi,221,157,140.7643312,12,18,527,419,69.83,7.55,146
K Goel,218,239,91.21338912,9,17,94,67,11.17,8.42,19
AA Jhunjhunwala,217,218,99.5412844,5,19,130,88,14.67,8.86,27
R Dhawan,210,188,111.7021277,7,18,922,693,115.5,7.98,205
UT Yadav,208,211,98.57819905,9,16,4442,3190,531.67,8.35,1186
K Rabada,206,207,99.51690821,8,16,2652,1907,317.83,8.34,717
CA Ingram,205,183,112.0218579,5,22,0,0,0,0,0
PD Collingwood,203,159,127.672956,13,9,101,90,15,6.73,24
JC Archer,199,132,150.7575758,14,11,1210,987,164.5,7.36,420
KS Bharat,199,168,118.452381,8,12,0,0,0,0,0
SK Warne,198,219,90.4109589,6,14,1465,1223,203.83,7.19,426
JD Unadkat,197,170,115.8823529,7,16,3219,2194,365.67,8.8,684
SP Fleming,196,171,114.619883,3,27,0,0,0,0,0
AS Raut,194,172,112.7906977,7,13,45,30,5,9,6
Salman Butt,193,172,112.2093023,2,30,0,0,0,0,0
BJ Rohrer,193,146,132.1917808,5,21,12,7,1.17,10.29,1
YV Takawale,192,183,104.9180328,3,26,0,0,0,0,0
HC Brook,190,159,119.4968553,4,23,0,0,0,0,0
Ashutosh Sharma,189,118,160.1694915,15,10,0,0,0,0,0
Bipul Sharma,187,124,150.8064516,9,11,581,436,72.67,8,131
SD Hope,183,125,146.4,12,12,0,0,0,0,0
MS Wade,183,185,98.91891892,2,23,0,0,0,0,0
FY Fazal,183,179,102.2346369,1,22,20,12,2,10,1
Kuldeep Yadav,183,224,81.69642857,3,16,2413,1786,297.67,8.11,520
Sikandar Raza,182,143,127.2727273,8,12,146,88,14.67,9.95,21
AC Voges,181,143,126.5734266,3,15,76,56,9.33,8.14,15
CR Brathwaite,181,120,150.8333333,16,10,384,266,44.33,8.66,74
S Gopal,180,173,104.0462428,2,19,1358,1000,166.67,8.15,317
AB Agarkar,179,160,111.875,5,13,1174,820,136.67,8.59,254
C Munro,177,144,122.9166667,8,19,15,12,2,7.5,5
MF Maharoof,177,124,142.7419355,9,12,532,441,73.5,7.24,165
DH Yagnik,170,142,119.7183099,2,23,0,0,0,0,0
Ramandeep Singh,170,106,160.3773585,13,8,64,45,7.5,8.53,12
CM Gautam,169,158,106.9620253,6,17,0,0,0,0,0
DW Steyn,167,163,102.4539877,3,14,2583,2282,380.33,6.79,1019
MG Johnson,167,168,99.4047619,7,10,1740,1301,216.83,8.02,535
MN van Wyk,167,135,123.7037037,1,19,0,0,0,0,0
PA Reddy,164,167,98.20359281,2,15,0,0,0,0,0
A Raghuvanshi,163,109,149.5412844,8,16,0,0,0,0,0
N Jagadeesan,162,155,104.516129,2,21,0,0,0,0,0
MN Samuels,161,174,92.52873563,7,9,285,219,36.5,7.81,79
RE van der Merwe,159,144,110.4166667,8,11,515,455,75.83,6.79,148
R McLaren,159,178,89.3258427,1,14,558,372,62,9,116
D Wiese,148,105,140.952381,7,12,447,307,51.17,8.74,82
AD Hales,148,119,124.3697479,6,13,0,0,0,0,0
SM Pollock,147,116,126.7241379,8,12,307,280,46.67,6.58,130
S Vidyut,145,115,126.0869565,3,21,22,13,2.17,10.15,5
Sachin Baby,144,123,117.0731707,5,11,8,10,1.67,4.8,5
N Saini,140,143,97.9020979,0,16,0,0,0,0,0
Naman Dhir,140,84,166.6666667,10,12,55,29,4.83,11.38,3
Anmolpreet Singh,139,117,118.8034188,3,19,0,0,0,0,0
S Anirudha,136,121,112.3966942,7,9,0,0,0,0,0
SB Styris,131,134,97.76119403,3,10,278,222,37,7.51,83
W Jaffer,130,129,100.7751938,3,14,0,0,0,0,0
RD Chahar,129,127,101.5748031,5,13,2165,1697,282.83,7.65,574
Kamran Akmal,128,78,164.1025641,8,13,0,0,0,0,0
UT Khawaja,127,105,120.952381,3,14,0,0,0,0,0
TK Curran,127,108,117.5925926,3,10,432,252,42,10.29,57
P Dogra,127,141,90.07092199,5,4,0,0,0,0,0
M Morkel,126,93,135.483871,5,11,2136,1699,283.17,7.54,708
SS Prabhudessai,126,113,111.5044248,4,11,0,0,0,0,0
MC Juneja,125,134,93.28358209,1,11,0,0,0,0,0
BB Samantray,125,116,107.7586207,2,13,0,0,0,0,0
MM Sharma,124,137,90.51094891,4,9,3278,2308,384.67,8.52,782
B Lee,124,102,121.5686275,8,8,1126,916,152.67,7.38,374
Harpreet Singh,123,119,103.3613445,3,10,0,0,0,0,0
AB McDonald,123,103,119.4174757,4,9,263,188,31.33,8.39,50
DL Vettori,121,118,102.5423729,2,11,894,785,130.83,6.83,270
NK Patel,121,124,97.58064516,1,14,0,0,0,0,0
TG Southee,120,108,111.1111111,4,8,1774,1262,210.33,8.43,447
AC Blizzard,120,91,131.8681319,2,21,0,0,0,0,0
Misbah-ul-Haq,117,82,142.6829268,6,10,0,0,0,0,0
Z Khan,117,141,82.9787234,2,11,2860,2276,379.33,7.54,873
RJ Harris,117,112,104.4642857,3,6,1085,865,144.17,7.53,364
MW Short,117,99,118.1818182,4,15,25,25,4.17,6,11
KK Cooper,116,70,165.7142857,8,9,789,600,100,7.89,184
R Shepherd,115,68,169.1176471,10,7,260,133,22.17,11.73,38
Aman Hakim Khan,115,109,105.5045872,6,8,13,6,1,13,1
DJM Short,115,102,112.745098,5,11,23,18,3,7.67,7
M Kartik,113,109,103.6697248,1,7,1418,1182,197,7.2,382
DJ Harris,111,103,107.7669903,5,11,26,18,3,8.67,4
Mohammed Siraj,109,122,89.3442623,4,10,2894,2081,346.83,8.34,806
LJ Wright,106,63,168.2539683,3,16,125,75,12.5,10,14
SE Rutherford,106,107,99.06542056,8,3,60,46,7.67,7.83,7
JDP Oram,106,110,96.36363636,5,6,362,244,40.67,8.9,79
MA Starc,105,109,96.33027523,0,11,1175,879,146.5,8.02,334
DS Kulkarni,104,113,92.03539823,2,7,2513,1876,312.67,8.04,742
RJ Quiney,103,105,98.0952381,3,12,0,0,0,0,0
SD Chitnis,99,92,107.6086957,2,10,62,38,6.33,9.79,9
MS Gony,99,76,130.2631579,8,6,1317,925,154.17,8.54,348
MJ Clarke,98,96,102.0833333,0,12,72,66,11,6.55,22
CJ Ferguson,98,119,82.35294118,0,9,0,0,0,0,0
PN Mankad,97,75,129.3333333,2,13,0,0,0,0,0
Arshad Khan,96,67,143.2835821,6,5,282,153,25.5,11.06,44
JDS Neesham,92,93,98.92473118,2,6,342,222,37,9.24,63
PR Shah,92,97,94.84536082,2,9,0,0,0,0,0
DJ Jacobs,92,101,91.08910891,4,10,0,0,0,0,0
RT Ponting,91,129,70.54263566,2,5,0,0,0,0,0
AJ Tye,91,79,115.1898734,5,6,1005,714,119,8.45,208
S Rana,91,82,110.9756098,1,9,18,16,2.67,6.75,5
AD Nath,90,99,90.90909091,2,7,0,0,0,0,0
Iqbal Abdulla,88,86,102.3255814,1,9,1125,943,157.17,7.16,331
SL Malinga,88,103,85.4368932,5,6,3486,2974,495.67,7.03,1144
AP Majumdar,87,77,112.987013,2,7,0,0,0,0,0
Ankit Sharma,87,69,126.0869565,4,7,453,375,62.5,7.25,137
MJ McClenaghan,85,73,116.4383562,7,5,1839,1346,224.33,8.2,507
TA Boult,83,82,101.2195122,3,5,3286,2428,404.67,8.12,986
RE Levi,83,74,112.1621622,4,10,0,0,0,0,0
NM Coulter-Nile,82,75,109.3333333,4,7,1125,892,148.67,7.57,368
CJ Jordan,81,81,100,3,3,1111,717,119.5,9.3,206
LA Carseldine,81,71,114.084507,0,11,6,7,1.17,5.14,4
Shahid Afridi,81,46,176.0869565,6,7,237,185,30.83,7.69,57
WPUJC Vaas,81,73,110.9589041,3,2,364,288,48,7.58,128
RV Patel,80,76,105.2631579,2,6,22,20,3.33,6.6,5
DL Chahar,80,61,131.147541,6,2,2243,1746,291,7.71,708
AD Mascarenhas,79,79,100,1,5,365,310,51.67,7.06,124
JR Philippe,78,80,97.5,1,9,0,0,0,0,0
CR Woakes,78,77,101.2987013,2,7,674,463,77.17,8.73,161
B Akhil,76,57,133.3333333,5,5,246,193,32.17,7.65,60
IR Jaggi,76,100,76,0,6,0,0,0,0,0
TR Birt,75,59,127.1186441,2,9,0,0,0,0,0
